Time (s)	1 Flow (sccm)	2 Flow (sccm)	3 Flow (sccm)	4 Flow (sccm)	5 Flow (sccm)	6 Flow (sccm)
0.438	3.445930	8.143694	2.149995	5.389833	-5.466505	-5.095538
0.941	7.657719	10.249589	1.664020	4.093898	-5.660895	-6.391473
1.461	12.679467	13.003450	4.579873	7.981702	-5.596099	-5.419522
1.972	4.579873	9.925605	5.551824	7.333735	-5.466505	-5.095538
2.491	2.149995	9.925605	3.607922	5.713816	-5.498903	-5.419522
3.001	4.579873	9.277637	5.227841	4.579873	-5.725692	-6.391473
3.501	6.037800	8.629670	0.854060	4.093898	-5.855285	-6.715457
4.021	2.959955	10.087597	4.093898	4.093898	-5.822887	-7.039440
4.521	9.439629	12.841458	5.551824	11.707515	-5.304513	-5.419522
5.032	8.467678	14.947353	5.875808	5.551824	-5.563700	-5.419522
5.532	6.685768	13.813410	3.121946	8.305686	-5.498903	-5.095538
6.042	5.551824	10.087597	4.903857	4.741865	-5.628497	-5.743505
6.552	4.903857	13.327434	6.037800	6.847759	-5.563700	-5.419522
7.059	6.523776	13.003450	6.199792	4.093898	-5.660895	-6.067489
7.561	5.713816	13.165442	2.473979	3.607922	-5.855285	-6.715457
8.071	10.249589	10.573572	2.635971	5.875808	-5.790489	-7.039440
8.581	6.361784	11.383532	0.692068	5.227841	-5.855285	-8.011392
9.091	6.037800	11.221540	3.445930	2.959955	-6.082074	-8.983343
9.602	9.925605	10.897556	5.389833	11.059548	-5.304513	-5.743505
10.109	5.551824	13.003450	6.847759	8.791662	-5.239716	-4.447570
10.621	3.931906	9.277637	1.178044	2.959955	-5.790489	-6.715457
11.131	5.713816	12.517475	5.551824	6.037800	-5.758090	-6.715457
11.651	4.255890	12.517475	1.988003	1.988003	-5.920082	-7.363424
12.162	3.931906	9.115646	3.445930	3.445930	-5.822887	-7.687408
12.671	7.171743	11.221540	4.579873	2.473979	-5.498903	-6.715457
13.192	6.685768	11.707515	1.178044	3.445930	-5.822887	-7.039440
13.692	5.875808	9.277637	3.121946	0.854060	-6.114472	-8.335375
14.202	4.903857	9.439629	4.255890	5.551824	-6.146871	-9.307326
14.709	12.031499	10.249589	1.988003	6.199792	-5.855285	-8.983343
15.219	7.819711	10.411580	3.283938	4.417881	-5.984879	-8.659359
15.730	5.551824	9.601621	2.959955	4.579873	-5.920082	-8.659359
16.251	7.495727	9.925605	4.093898	8.305686	-5.596099	-8.011392
16.761	5.065849	9.763613	3.931906	6.037800	-5.693294	-7.363424
17.281	3.931906	8.629670	2.311987	5.713816	-5.725692	-7.039440
17.791	6.523776	12.517475	3.121946	7.333735	-5.596099	-6.715457
18.301	7.657719	12.841458	3.283938	9.763613	-5.434107	-5.419522
