Time (s)	Gate (V)	13	27
0.059	-10.000	4.888635e-9	5.519383e-9
0.248	-9.000	5.191879e-9	4.136624e-9
0.441	-8.000	3.020649e-9	4.415573e-9
0.627	-7.000	5.555772e-9	4.318498e-9
0.851	-6.000	5.931744e-9	3.590811e-9
1.045	-5.000	6.307819e-9	4.973586e-9
1.241	-4.000	1.176933e-9	4.148718e-9
1.427	-3.000	4.815856e-9	3.554390e-9
1.646	-2.000	4.827943e-9	6.429172e-9
1.837	-1.000	2.292863e-9	3.117714e-9
2.031	0.000	5.604340e-9	2.402031e-9
2.217	1.000	3.699949e-9	1.577192e-9
2.411	2.000	5.567951e-9	3.760565e-9
2.617	3.000	4.367092e-9	2.680992e-9
2.811	4.000	2.511220e-9	1.710633e-9
2.997	5.000	5.155445e-9	3.736305e-9
3.196	6.000	2.062397e-9	1.577233e-9
3.407	7.000	3.639204e-9	5.883277e-9
3.606	8.000	3.299605e-9	8.615488e-10
3.797	9.000	4.694599e-9	3.481550e-9
3.991	10.000	9.343274e-10	2.596107e-9
4.177	9.000	3.408832e-9	4.330740e-9
4.391	8.000	2.195844e-9	2.705298e-9
4.577	7.000	4.561131e-9	4.221534e-9
4.771	6.000	1.747023e-9	3.008546e-9
4.965	5.000	2.499090e-9	1.904710e-9
5.182	4.000	7.241874e-9	4.937196e-9
5.368	3.000	3.651429e-9	3.287562e-9
5.561	2.000	5.992392e-9	4.937153e-9
5.756	1.000	6.865848e-9	4.912937e-9
5.945	0.000	2.959974e-9	2.899351e-9
6.157	-1.000	8.272771e-9	6.162261e-9
6.351	-2.000	9.825626e-9	4.621739e-9
6.545	-3.000	5.276834e-9	3.141919e-9
6.741	-4.000	6.380486e-9	4.864375e-9
6.957	-5.000	1.734923e-9	5.992444e-9
7.151	-6.000	4.961413e-9	6.635322e-9
7.337	-7.000	5.398132e-9	4.791596e-9
7.531	-8.000	6.647452e-9	6.089536e-9
7.717	-9.000	6.817210e-9	3.384572e-9
7.941	-10.000	5.531561e-9	4.840200e-9
8.127	-9.000	9.036940e-9	5.119056e-9
8.321	-8.000	4.694517e-9	3.226827e-9
8.507	-7.000	5.895458e-9	3.408832e-9
8.701	-6.000	1.160863e-8	7.593641e-9
8.918	-5.000	4.427664e-9	4.621820e-9
9.111	-4.000	3.020675e-9	3.445191e-9
9.297	-3.000	6.380597e-9	6.162261e-9
9.491	-2.000	4.549001e-9	3.627106e-9
9.707	-1.000	5.313177e-9	5.737719e-9
9.901	0.000	3.578681e-9	6.125926e-9
10.087	1.000	3.117714e-9	2.753818e-9
10.286	2.000	2.765924e-9	1.941133e-9
10.477	3.000	3.287533e-9	3.251115e-9
10.691	4.000	1.468050e-9	1.565090e-9
10.877	5.000	4.888720e-9	5.555724e-9
11.071	6.000	2.826622e-9	3.639299e-9
11.257	7.000	4.803726e-9	4.148682e-9
11.455	8.000	5.919717e-9	3.918252e-9
11.667	9.000	2.644626e-9	1.722763e-9
11.861	10.000	4.949370e-9	3.809051e-9
12.047	9.000	2.195844e-9	2.875067e-9
12.245	8.000	2.207954e-9	3.796955e-9
12.457	7.000	4.900807e-9	2.256453e-9
12.651	6.000	3.057038e-9	2.911481e-9
12.839	5.000	2.256493e-9	-1.249042e-9
13.031	4.000	4.876547e-9	7.645172e-10
13.237	3.000	2.341341e-9	4.791638e-9
13.431	2.000	6.829399e-9	5.398179e-9
13.617	1.000	3.809117e-9	2.389942e-9
13.811	0.000	6.586861e-9	3.712046e-9
13.997	-1.000	3.057065e-9	2.935766e-9
14.215	-2.000	3.930382e-9	5.009932e-9
14.407	-3.000	6.708101e-9	6.926558e-9
14.601	-4.000	5.422345e-9	8.442734e-9
14.787	-5.000	5.725640e-9	4.124459e-9
14.980	-6.000	4.621820e-9	3.360283e-9
15.197	-7.000	6.756679e-9	4.391352e-9
15.396	-8.000	7.035667e-9	6.380708e-9
15.587	-9.000	6.065170e-9	6.174445e-9
15.781	-10.000	4.282183e-9	6.162208e-9
15.997	-9.000	7.132643e-9	4.173014e-9
16.191	-8.000	5.094841e-9	6.441246e-9
16.385	-7.000	3.918287e-9	7.714873e-9
16.581	-6.000	1.108685e-8	4.767337e-9
16.798	-5.000	5.798368e-9	3.433002e-9
16.991	-4.000	3.542230e-9	3.857637e-9
17.177	-3.000	5.301047e-9	4.876547e-9
17.370	-2.000	2.826597e-9	3.651398e-9
17.587	-1.000	3.869700e-9	1.662114e-9
17.777	0.000	7.811980e-9	4.864332e-9
17.967	1.000	2.790159e-9	2.426332e-9
18.161	2.000	4.828028e-9	5.119100e-9
18.347	3.000	2.838752e-9	2.814394e-9
18.565	4.000	6.028886e-9	3.044909e-9
18.747	5.000	4.221497e-9	2.159416e-9
18.946	6.000	4.852203e-9	4.949326e-9
19.137	7.000	5.919717e-9	3.651398e-9
19.351	8.000	3.566489e-9	3.712046e-9
19.537	9.000	2.462679e-9	4.767420e-9
19.730	10.000	7.302587e-9	6.829399e-9
