Time (s)	3 Flow (sccm)	4 Flow (sccm)
0.578	28.143406	281.257416
1.074	28.143406	281.257416
1.583	28.143406	281.257416
2.090	28.143406	281.257416
2.597	28.143406	281.257416
3.104	28.143406	281.257416
3.611	28.143406	281.257416
4.118	28.143406	281.257416
4.625	28.143406	281.257416
5.132	28.143406	281.257416
5.639	28.143406	281.257416
6.146	28.143406	281.257416
6.653	28.143406	281.257416
7.160	28.143406	281.257416
7.665	28.143406	281.257416
8.174	28.143406	281.257416
8.681	28.143406	281.257416
9.188	28.143406	281.257416
9.695	28.143406	281.257416
10.202	28.143406	281.257416
10.709	28.143406	281.257416
11.216	28.143406	281.257416
11.729	28.143406	281.257416
12.230	28.143406	281.257416
12.738	28.143406	281.257416
13.243	28.143406	281.257416
13.751	28.143406	281.257416
14.258	28.143406	281.257416
14.762	28.143406	281.257416
15.269	28.143406	281.257416
15.776	28.143406	281.257416
16.286	28.143406	281.257416
16.792	28.143406	281.257416
17.299	28.143406	281.257416
17.814	28.143406	281.257416
18.320	28.143406	281.257416
18.829	28.143406	281.257416
19.336	28.143406	281.257416
19.842	28.143406	281.257416
20.348	28.143406	281.257416
20.857	28.143406	281.257416
21.362	28.143406	281.257416
21.871	28.143406	281.257416
22.375	28.143406	281.257416
22.883	28.143406	281.257416
23.389	28.143406	281.257416
23.899	28.143406	281.257416
24.404	28.143406	281.257416
24.913	28.143406	281.257416
25.417	28.143406	281.257416
25.926	28.143406	281.257416
26.432	28.143406	281.257416
