Time (s)	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
0.071	5.298339e-5	5.298704e-5	5.302474e-5	5.300443e-5	5.300226e-5	5.298548e-5	5.301916e-5	5.300367e-5	5.300636e-5	5.298723e-5	5.301578e-5	5.300422e-5	5.300433e-5	5.298482e-5	5.300986e-5	5.300378e-5	5.301091e-5	5.298682e-5	5.301094e-5	5.300422e-5	5.301952e-5	5.298970e-5	5.300266e-5	5.300477e-5	5.302436e-5	5.297857e-5	5.298297e-5	5.300858e-5	5.302564e-5	5.298097e-5	5.298709e-5	5.300809e-5	5.302555e-5	5.298246e-5	5.298912e-5
1.677	5.300534e-5	5.302587e-5	5.297660e-5	5.297848e-5	5.300957e-5	5.302713e-5	5.297124e-5	5.297200e-5	5.301041e-5	5.302998e-5	5.297409e-5	5.297593e-5	5.301136e-5	5.302750e-5	5.296993e-5	5.296696e-5	5.301245e-5	5.302652e-5	5.296851e-5	5.296761e-5	5.301753e-5	5.302266e-5	5.296758e-5	5.296525e-5	5.302545e-5	5.301186e-5	5.296876e-5	5.296889e-5	5.302571e-5	5.301157e-5	5.297314e-5	5.297056e-5	5.302587e-5	5.301055e-5	5.297888e-5
3.286	5.297361e-5	5.302575e-5	5.300948e-5	5.298002e-5	5.297500e-5	5.302424e-5	5.300660e-5	5.298441e-5	5.297680e-5	5.302302e-5	5.300918e-5	5.297509e-5	5.297415e-5	5.302201e-5	5.300497e-5	5.299774e-5	5.297988e-5	5.300858e-5	5.300302e-5	5.300596e-5	5.298285e-5	5.300566e-5	5.300575e-5	5.301788e-5	5.298163e-5	5.301136e-5	5.300355e-5	5.300465e-5	5.297915e-5	5.301616e-5	5.300592e-5	5.299485e-5	5.297520e-5	5.302306e-5	5.301270e-5
4.888	5.298279e-5	5.297171e-5	5.302453e-5	5.300701e-5	5.298196e-5	5.297577e-5	5.301892e-5	5.300633e-5	5.299251e-5	5.297983e-5	5.301533e-5	5.300266e-5	5.301595e-5	5.298456e-5	5.300058e-5	5.300314e-5	5.301521e-5	5.298146e-5	5.300055e-5	5.300302e-5	5.302201e-5	5.298746e-5	5.299538e-5	5.300429e-5	5.302889e-5	5.298721e-5	5.297537e-5	5.300537e-5	5.302747e-5	5.298622e-5	5.296732e-5	5.300541e-5	5.302784e-5	5.298835e-5	5.296598e-5
6.498	5.300549e-5	5.302759e-5	5.298700e-5	5.296400e-5	5.300971e-5	5.302228e-5	5.298784e-5	5.296423e-5	5.301029e-5	5.301959e-5	5.298555e-5	5.296898e-5	5.301517e-5	5.302164e-5	5.298645e-5	5.296889e-5	5.301353e-5	5.301971e-5	5.298570e-5	5.296793e-5	5.301636e-5	5.301592e-5	5.298497e-5	5.296772e-5	5.301669e-5	5.301864e-5	5.298588e-5	5.296679e-5	5.301931e-5	5.301745e-5	5.298482e-5	5.297447e-5	5.302485e-5	5.300860e-5	5.297787e-5
8.099	5.297743e-5	5.302733e-5	5.300905e-5	5.297868e-5	5.297647e-5	5.302834e-5	5.300855e-5	5.297786e-5	5.297798e-5	5.302636e-5	5.300535e-5	5.297339e-5	5.298573e-5	5.301940e-5	5.300358e-5	5.296602e-5	5.298556e-5	5.301399e-5	5.300549e-5	5.296403e-5	5.298663e-5	5.301303e-5	5.300317e-5	5.296529e-5	5.298746e-5	5.298968e-5	5.300712e-5	5.297195e-5	5.298865e-5	5.298630e-5	5.300570e-5	5.298014e-5	5.298622e-5	5.298144e-5	5.300753e-5
9.708	5.298097e-5	5.298838e-5	5.298342e-5	5.300590e-5	5.297419e-5	5.298672e-5	5.298656e-5	5.300805e-5	5.297823e-5	5.298787e-5	5.297805e-5	5.300631e-5	5.299221e-5	5.298807e-5	5.297183e-5	5.300953e-5	5.299055e-5	5.298670e-5	5.296822e-5	5.301155e-5	5.299836e-5	5.298587e-5	5.296712e-5	5.301075e-5	5.299860e-5	5.298511e-5	5.296391e-5	5.301265e-5	5.300831e-5	5.298660e-5	5.296516e-5	5.301639e-5	5.300486e-5	5.298575e-5	5.296595e-5
11.311	5.301530e-5	5.301099e-5	5.298548e-5	5.296529e-5	5.301514e-5	5.301494e-5	5.298304e-5	5.296671e-5	5.302416e-5	5.302332e-5	5.297548e-5	5.296767e-5	5.302392e-5	5.302643e-5	5.296872e-5	5.297406e-5	5.302600e-5	5.302842e-5	5.297141e-5	5.297677e-5	5.302733e-5	5.302696e-5	5.297055e-5	5.297381e-5	5.302506e-5	5.302669e-5	5.296619e-5	5.297630e-5	5.302306e-5	5.302315e-5	5.296721e-5	5.298363e-5	5.302416e-5	5.302340e-5	5.296583e-5
12.920	5.297735e-5	5.302531e-5	5.298567e-5	5.300473e-5	5.303096e-5	5.298547e-5	5.299424e-5	5.300300e-5	5.302291e-5	5.298612e-5	5.298388e-5	5.300483e-5	5.302658e-5	5.298790e-5	5.297871e-5	5.300427e-5	5.302739e-5	5.298709e-5	5.296467e-5	5.301329e-5	5.302513e-5	5.298938e-5	5.296493e-5	5.301143e-5	5.301971e-5	5.299636e-5	5.296981e-5	5.300902e-5	5.302271e-5	5.298548e-5	5.296723e-5	5.301399e-5	5.301627e-5	5.298607e-5	5.296699e-5
14.516	5.301139e-5	5.301963e-5	5.298482e-5	5.297244e-5	5.302062e-5	5.301759e-5	5.298494e-5	5.296598e-5	5.301482e-5	5.301930e-5	5.298636e-5	5.296561e-5	5.301285e-5	5.301636e-5	5.298397e-5	5.296659e-5	5.302111e-5	5.301896e-5	5.298624e-5	5.296842e-5	5.301485e-5	5.301661e-5	5.298182e-5	5.297221e-5	5.301692e-5	5.301462e-5	5.298455e-5	5.296795e-5	5.301439e-5	5.301730e-5	5.298462e-5	5.297271e-5	5.302053e-5	5.301294e-5	5.298345e-5
